number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_dim,params_lambda_mono,params_learning_rate,params_num_layers,params_weight_decay,user_attrs_optimal_epochs,state
30,0.12596238113939762,2026-02-28 12:08:14.987131,2026-02-28 12:09:50.413322,0 days 00:01:35.426191,GELU,96,0.5552071312030322,0.003420333470494845,3,9.94339286964785e-05,50.0,COMPLETE
31,0.13408205032348633,2026-02-28 12:09:50.433546,2026-02-28 12:12:41.283291,0 days 00:02:50.849745,GELU,128,0.3485682073092608,0.0034184251657017163,2,9.178498151631919e-05,134.0,COMPLETE
32,0.12617593213915826,2026-02-28 12:12:41.304200,2026-02-28 12:14:08.463130,0 days 00:01:27.158930,GELU,96,1.1779986888234786,0.0034960169654445765,3,6.524503612673736e-05,42.0,COMPLETE
33,0.12476731404662131,2026-02-28 12:14:08.488804,2026-02-28 12:15:31.797912,0 days 00:01:23.309108,GELU,96,1.1014054889461713,0.003959903565253711,3,6.973946117908019e-05,40.0,COMPLETE
34,0.12627827256917953,2026-02-28 12:15:31.828935,2026-02-28 12:16:57.483079,0 days 00:01:25.654144,GELU,96,1.1445242829941211,0.003896955621831464,3,0.00010230763898019475,41.0,COMPLETE
35,0.12835834279656413,2026-02-28 12:16:57.503577,2026-02-28 12:18:31.277995,0 days 00:01:33.774418,GELU,96,1.0590776731550726,0.003498732684111708,3,7.518982695560267e-05,50.0,COMPLETE
36,0.12797356143593788,2026-02-28 12:18:31.306804,2026-02-28 12:20:43.189035,0 days 00:02:11.882231,SiLU,96,0.49919163108816067,0.003186773753879299,3,0.00015682661729217657,82.0,COMPLETE
37,0.1263916999101639,2026-02-28 12:20:43.212757,2026-02-28 12:22:22.293403,0 days 00:01:39.080646,GELU,96,0.9530730156881817,0.0028621304818478932,3,5.206149735090584e-05,56.0,COMPLETE
38,0.13034445673227307,2026-02-28 12:22:22.321591,2026-02-28 12:24:11.507743,0 days 00:01:49.186152,SiLU,96,0.31638465865855714,0.0035100301787503985,3,6.724880814105084e-05,62.0,COMPLETE
39,0.13732161670923235,2026-02-28 12:24:11.599714,2026-02-28 12:26:35.840573,0 days 00:02:24.240859,GELU,48,1.120270234636175,0.0039790095047912075,2,0.00010579409770008817,100.0,COMPLETE
40,0.12647648423910143,2026-02-28 12:26:35.866976,2026-02-28 12:28:36.280767,0 days 00:02:00.413791,GELU,96,0.5534787074264437,0.002939796846428061,3,0.00015502054666416577,74.0,COMPLETE
41,0.1284190471470356,2026-02-28 12:28:36.302459,2026-02-28 12:30:19.510079,0 days 00:01:43.207620,SiLU,128,1.0240753923224064,0.0032729596214047174,3,7.334572333053219e-05,52.0,COMPLETE
42,0.13466184809803963,2026-02-28 12:30:19.536163,2026-02-28 12:32:42.254199,0 days 00:02:22.718036,GELU,96,0.6476895112756457,0.003606569900571051,2,8.4053742614996e-05,103.0,COMPLETE
43,0.1281323254108429,2026-02-28 12:32:42.276467,2026-02-28 12:34:01.007422,0 days 00:01:18.730955,GELU,96,1.1795863683097538,0.0036204489627005743,3,6.209384717714181e-05,35.0,COMPLETE
44,0.12856028899550437,2026-02-28 12:34:01.040350,2026-02-28 12:35:18.617805,0 days 00:01:17.577455,GELU,96,1.1028475477262487,0.0033625348631093686,3,5.879337103838246e-05,31.0,COMPLETE
45,0.1274185709655285,2026-02-28 12:35:18.641872,2026-02-28 12:37:13.241096,0 days 00:01:54.599224,GELU,96,1.1535082049479624,0.003027688943908246,3,0.00011231016860252459,63.0,COMPLETE
46,0.1306876841187477,2026-02-28 12:37:13.267916,2026-02-28 12:38:45.144013,0 days 00:01:31.876097,GELU,96,1.0294410703784604,0.0036695490884859714,3,0.00023892663388501453,46.0,COMPLETE
47,0.14557980537414553,2026-02-28 12:38:45.168539,2026-02-28 12:42:07.787407,0 days 00:03:22.618868,SiLU,96,1.1939276194651953,0.0008354293733975729,3,0.0008013286520296189,157.0,COMPLETE
48,0.13029851287603378,2026-02-28 12:42:07.821908,2026-02-28 12:43:46.406648,0 days 00:01:38.584740,GELU,48,0.449861554797624,0.0028310133498158753,3,8.466076814346224e-05,56.0,COMPLETE
49,0.1299881376326084,2026-02-28 12:43:46.438029,2026-02-28 12:45:15.381480,0 days 00:01:28.943451,GELU,128,0.9653962341807877,0.003981600124056708,3,0.0003695489316363123,44.0,COMPLETE
50,0.1264725837111473,2026-02-28 12:45:15.408167,2026-02-28 12:46:53.936847,0 days 00:01:38.528680,GELU,96,0.08151759922358359,0.0024832936341748404,3,0.00014367951201975013,56.0,COMPLETE
51,0.12664087116718292,2026-02-28 12:46:53.959185,2026-02-28 12:48:58.697987,0 days 00:02:04.738802,GELU,96,0.8253783969168572,0.0014256705369444448,3,0.00012466758050548493,74.0,COMPLETE
52,0.13186494633555412,2026-02-28 12:48:58.720884,2026-02-28 12:50:32.114258,0 days 00:01:33.393374,SiLU,96,1.074767333246856,0.0020620566593338194,3,6.501504104850669e-05,46.0,COMPLETE
53,0.126662178337574,2026-02-28 12:50:32.135555,2026-02-28 12:52:15.968859,0 days 00:01:43.833304,GELU,96,1.1168459782985223,0.003757001447821044,3,0.00010316383394992866,61.0,COMPLETE
54,0.12700505912303925,2026-02-28 12:52:15.992204,2026-02-28 12:53:54.224045,0 days 00:01:38.231841,GELU,96,1.1462138338040986,0.0030988079146392336,3,8.906648059512186e-05,54.0,COMPLETE
55,0.12817735843360423,2026-02-28 12:53:54.249354,2026-02-28 12:55:07.734351,0 days 00:01:13.484997,GELU,96,1.006479314135324,0.003388737634059171,3,7.284143309118483e-05,30.0,COMPLETE
56,0.1278422363102436,2026-02-28 12:55:07.761419,2026-02-28 12:56:35.498479,0 days 00:01:27.737060,GELU,96,1.1641320691142631,0.003731566774309759,3,0.00010591279464698164,44.0,COMPLETE
57,0.12890368975698946,2026-02-28 12:56:35.520728,2026-02-28 12:58:25.799578,0 days 00:01:50.278850,GELU,48,1.0702977509143066,0.003978112773210576,3,0.00011940642028361598,66.0,COMPLETE
58,0.1449684140086174,2026-02-28 12:58:25.823986,2026-02-28 13:00:24.916985,0 days 00:01:59.092999,GELU,96,1.196324679892612,0.0033779167307462017,3,0.0015864958518125737,62.0,COMPLETE
59,0.13049851328134537,2026-02-28 13:00:24.943983,2026-02-28 13:01:43.735252,0 days 00:01:18.791269,GELU,96,0.583580840849755,0.0036983879294918646,3,9.388431229928682e-05,35.0,COMPLETE
60,0.1254429489374161,2026-02-28 13:01:43.759965,2026-02-28 13:02:59.454901,0 days 00:01:15.694936,GELU,128,0.4986514158823842,0.002702910301892107,3,5.429893830276717e-05,33.0,COMPLETE
61,0.12526513449847698,2026-02-28 13:02:59.480351,2026-02-28 13:04:41.730011,0 days 00:01:42.249660,GELU,128,0.5052341794074962,0.002684979643220448,3,5.501902661676475e-05,57.0,COMPLETE
62,0.1276798467338085,2026-02-28 13:04:41.752497,2026-02-28 13:06:13.689913,0 days 00:01:31.937416,GELU,128,0.5105503171745437,0.0022265574893803653,3,5.490069815961501e-05,47.0,COMPLETE
63,0.1256753220409155,2026-02-28 13:06:13.718335,2026-02-28 13:07:45.241510,0 days 00:01:31.523175,GELU,128,0.4033753091642901,0.00263357776177986,3,6.738293105511906e-05,48.0,COMPLETE
64,0.12727250814437868,2026-02-28 13:07:45.265633,2026-02-28 13:09:09.021581,0 days 00:01:23.755948,GELU,128,0.3799121370092551,0.0019698458727353107,3,5.677991518357644e-05,35.0,COMPLETE
65,0.1266745676100254,2026-02-28 13:09:09.051372,2026-02-28 13:10:29.275814,0 days 00:01:20.224442,GELU,128,0.2660079536333364,0.002620770337618139,3,8.033849641533126e-05,36.0,COMPLETE
66,0.127220152169466,2026-02-28 13:10:29.306285,2026-02-28 13:11:59.057512,0 days 00:01:29.751227,GELU,128,0.41534576681131485,0.0023873633012104316,3,7.030504725346713e-05,45.0,COMPLETE
67,0.12323782861232757,2026-02-28 13:11:59.081602,2026-02-28 13:14:06.563837,0 days 00:02:07.482235,GELU,128,0.49004060562118323,0.0016147126630000738,3,5.0582372304218506e-05,82.0,COMPLETE
68,0.12774096444249153,2026-02-28 13:14:06.585244,2026-02-28 13:15:42.828330,0 days 00:01:36.243086,GELU,128,0.4774839785300316,0.001686454150882461,3,5.447311156748261e-05,54.0,COMPLETE
69,0.12664792932569982,2026-02-28 13:15:42.852512,2026-02-28 13:17:20.142244,0 days 00:01:37.289732,GELU,128,0.40733498292839765,0.0016399162692963241,3,5.0064892430341113e-05,49.0,COMPLETE
70,0.13019442044198512,2026-02-28 13:17:20.170765,2026-02-28 13:18:59.295545,0 days 00:01:39.124780,GELU,128,0.30808608977607993,0.0013114204211115694,3,6.227640174830248e-05,54.0,COMPLETE
71,0.12928878515958786,2026-02-28 13:18:59.325085,2026-02-28 13:20:53.525705,0 days 00:01:54.200620,SiLU,128,0.19814075324738195,0.0027201048832363535,3,7.80767948733534e-05,68.0,COMPLETE
72,0.12751400381326677,2026-02-28 13:20:53.548894,2026-02-28 13:22:33.516680,0 days 00:01:39.967786,GELU,128,0.5231666952801454,0.0018479681290039152,3,6.096038948092234e-05,52.0,COMPLETE
73,0.12892290815711022,2026-02-28 13:22:33.541251,2026-02-28 13:24:21.505580,0 days 00:01:47.964329,GELU,128,0.5390936851446834,0.0015012157200896444,3,5.029961520887034e-05,58.0,COMPLETE
74,0.12785307720303535,2026-02-28 13:24:21.527591,2026-02-28 13:25:52.722847,0 days 00:01:31.195256,GELU,128,0.6250093696823369,0.0021814662169393415,3,6.880148466364486e-05,48.0,COMPLETE
75,0.1258473600447178,2026-02-28 13:25:52.750440,2026-02-28 13:27:51.795607,0 days 00:01:59.045167,GELU,64,0.47305816705169274,0.0028087681325860156,3,9.294725862078472e-05,76.0,COMPLETE
76,0.12685250982642174,2026-02-28 13:27:51.818619,2026-02-28 13:29:27.048112,0 days 00:01:35.229493,GELU,64,0.46540336911161323,0.002703872803864803,3,5.730399675874353e-05,51.0,COMPLETE
77,0.12904350966215133,2026-02-28 13:29:27.071903,2026-02-28 13:31:04.520240,0 days 00:01:37.448337,GELU,64,0.6758582443709498,0.002446301533780218,3,7.870962756337625e-05,55.0,COMPLETE
78,0.12894262090325354,2026-02-28 13:31:04.541875,2026-02-28 13:32:57.304535,0 days 00:01:52.762660,GELU,64,0.3735191584998636,0.0025482165854519524,3,6.697925296883441e-05,67.0,COMPLETE
79,0.14035560458898547,2026-02-28 13:32:57.329421,2026-02-28 13:34:51.501969,0 days 00:01:54.172548,GELU,64,0.41540910813913995,0.002295483276222877,2,8.859591276653851e-05,70.0,COMPLETE
80,0.12741976544260983,2026-02-28 13:34:51.524406,2026-02-28 13:36:32.736422,0 days 00:01:41.212016,GELU,128,0.5808288555019125,0.0020136235941810026,3,5.9400926144553654e-05,56.0,COMPLETE
81,0.12738516882061957,2026-02-28 13:36:32.761231,2026-02-28 13:38:06.720835,0 days 00:01:33.959604,GELU,128,0.476030530616058,0.0029038518613173645,3,7.382807361946954e-05,48.0,COMPLETE
82,0.1298952105641365,2026-02-28 13:38:06.741726,2026-02-28 13:40:39.399266,0 days 00:02:32.657540,GELU,64,0.33270147175582837,0.002784708232649124,3,0.000654385776240106,104.0,COMPLETE
83,0.12595744602382183,2026-02-28 13:40:39.427239,2026-02-28 13:42:20.221643,0 days 00:01:40.794404,GELU,128,0.7777735260717759,0.003190059900777911,3,9.703038506952258e-05,56.0,COMPLETE
84,0.12820846036076544,2026-02-28 13:42:20.248289,2026-02-28 13:43:53.087287,0 days 00:01:32.838998,GELU,128,0.7563630772780611,0.0030344863932435886,3,0.00013556736637912616,49.0,COMPLETE
85,0.12633103206753732,2026-02-28 13:43:53.112743,2026-02-28 13:45:46.892921,0 days 00:01:53.780178,GELU,128,0.8763151261117474,0.002968089297736809,3,9.705630426182404e-05,70.0,COMPLETE
86,0.12464779272675515,2026-02-28 13:45:46.924149,2026-02-28 13:47:30.284412,0 days 00:01:43.360263,GELU,128,0.719579577300354,0.0031619428490856907,3,8.276718075572372e-05,58.0,COMPLETE
87,0.12464681029319764,2026-02-28 13:47:30.313950,2026-02-28 13:48:55.795211,0 days 00:01:25.481261,GELU,128,0.7122851354152187,0.002565926390460935,3,8.202510695496592e-05,42.0,COMPLETE
88,0.12881347060203555,2026-02-28 13:48:55.826099,2026-02-28 13:50:40.997394,0 days 00:01:45.171295,SiLU,128,0.6451732258701713,0.002376188755463497,3,8.268380553301309e-05,61.0,COMPLETE
89,0.12755523592233656,2026-02-28 13:50:41.020172,2026-02-28 13:52:17.317222,0 days 00:01:36.297050,GELU,128,0.7087144499205809,0.0017422037298239037,3,6.530405156109719e-05,46.0,COMPLETE
90,0.12553914308547975,2026-02-28 13:52:17.354086,2026-02-28 13:53:46.297958,0 days 00:01:28.943872,GELU,128,0.6727186675886514,0.0025001492050770783,3,5.403036534396806e-05,43.0,COMPLETE
91,0.12654120750725267,2026-02-28 13:53:46.325823,2026-02-28 13:55:13.150627,0 days 00:01:26.824804,GELU,128,0.5923176247729025,0.002514483466743594,3,5.348716649818539e-05,43.0,COMPLETE
92,0.14333888038992884,2026-02-28 13:55:13.183413,2026-02-28 13:58:10.882151,0 days 00:02:57.698738,GELU,128,0.7228512098105699,0.0026551267471355863,3,0.001985142950101402,126.0,COMPLETE
93,0.1270273170620203,2026-02-28 13:58:10.903956,2026-02-28 13:59:52.905095,0 days 00:01:42.001139,GELU,128,0.6774016522884484,0.002602045079064277,3,7.093143433231064e-05,55.0,COMPLETE
94,0.12666265219449996,2026-02-28 13:59:52.929917,2026-02-28 14:01:12.149468,0 days 00:01:19.219551,GELU,128,0.8232789260532367,0.0023325943658871148,3,6.105503600356233e-05,34.0,COMPLETE
95,0.1301163353025913,2026-02-28 14:01:12.173812,2026-02-28 14:02:46.479569,0 days 00:01:34.305757,GELU,48,0.6138545359819926,0.0015720627017069264,3,5.4852748426146256e-05,46.0,COMPLETE
96,0.12657820165157319,2026-02-28 14:02:46.504159,2026-02-28 14:04:31.080579,0 days 00:01:44.576420,GELU,128,0.7817175000265347,0.0021544390268373338,3,0.00011093903067343003,60.0,COMPLETE
